stock_code,corp_name,year,quarter,label,총자산증가율,유동자산증가율,매출액증가율,순이익증가율,영업이익증가율,매출액순이익률,매출총이익률,자기자본순이익률,매출채권회전율,재고자산회전율,총자본회전율,유형자산회전율,매출원가율,부채비율,유동비율,자기자본비율,당좌비율,비유동자산장기적합률,순운전자본비율,차입금의존도,현금비율,유형자산,무형자산,무형자산상각비,유형자산상각비,감가상각비,총자본영업이익률,총자본순이익률,유보액/납입자본비율,총자본투자효율
309930,조이웍스앤코,2018,Q1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309930,조이웍스앤코,2018,H1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309930,조이웍스앤코,2018,Q3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309930,조이웍스앤코,2018,ANNUAL,0,,,,,,,,-0.093777303938472,0.0,,0.0,0.0,,8.42219098149242,161607.09893693693,92.2320413328208,161607.09893693693,,99.93812153014453,0.0,2852.224954954955,,,,,,-0.19497348387767743,-0.0864927217293365,1702.281200217865,-0.000864927217293365
