종목코드,회사명,induty_code
397500,대신밸런스제11호기업인수목적,66199
343510,하나금융16호기업인수목적 주식회사,66199
351340,아이비케이에스제13호기업인수목적 주식회사,6619
344050,신영해피투모로우제6호기업인수목적 주식회사,66199
064510,유네코(주),292
342550,케이비제20호기업인수목적 주식회사,66199
349720,이베스트기업인수목적5호 주식회사,66199
341160,하나금융15호기업인수목적 주식회사,66199
217600,(주)켐온,701
290510,(주)코리아센터,58221
367460,유안타제7호기업인수목적 주식회사,66199
131390,(주)원익피앤이,281
158310,참존글로벌(주),29280
060300,(주)레드로버,59112
108320,(주)엘엑스세미콘,2612
347140,케이프이에스제4호기업인수목적 주식회사,6499
126870,(주)앤에스,29174
337450,에스케이제5호기업인수목적 주식회사,66199
340350,에스케이제6호기업인수목적 주식회사,66199
090740,(주)와이앤넥스트,26224
182690,테라셈(주),465
046110,한일네트웍스(주),63112
332710,하나금융14호기업인수목적 주식회사,66199
127160,(주)매직마이크로,262
053110,(주)소리바다,631
340120,하이제5호기업인수목적 주식회사,66199
176440,주식회사 미래오토스,26224
220630,주식회사 맘스터치앤컴퍼니,463
050320,에스에이치엔엘(주),259
052190,(주)세영디앤씨,901
950180,주식회사 에스앤케이,5821
330990,케이비제19호기업인수목적 주식회사,661
053660,현진소재(주),25912
039670,(주)스포츠서울,58121
041140,넥슨지티(주),5821
066110,(주)한프,26329
329560,상상인이안제2호기업인수목적 주식회사,66199
225330,(주)씨엠에스에듀,85501
114570,지스마트글로벌(주),468
323210,이베스트이안기업인수목적1호 주식회사,661
323940,케이비제18호기업인수목적 주식회사,661
221610,자안바이오 주식회사,20411
036490,에스케이 머티리얼즈(주),20122
045890,(주)금빛,284
313750,유안타제4호기업인수목적 주식회사,66199
317320,한화에스비아이기업인수목적 주식회사,66199
031390,(주)녹십자셀,21100
317030,케이비제17호기업인수목적 주식회사,661
087730,(주)이엠네트웍스,20202
033110,(주)코너스톤네트웍스,471
039230,제이앤케이인더스트리(주),272
213090,(주)미래테크놀로지,58221
111820,(주)지유온,639
310840,엔에이치기업인수목적13호 주식회사,661
141070,(주)맥스로텍,292
080440,(주)에스제이케이,467
033430,디에스티(주),292
086250,(주)화신테크,29293
038160,(주)팍스넷,63991
033600,럭슬(주),303
178920,피아이첨단소재(주),2221
065620,(주)제낙스,24123
311270,키움제5호기업인수목적 주식회사,661
043290,케이맥(주),292
028150,(주)지에스홈쇼핑,602
307070,에스케이에이씨피씨제4호기업인수목적(주),661
307160,하나머스트제6호기업인수목적(주),66199
097520,(주)엠씨넥스,26519
900080,에스앤씨엔진그룹리미티드,64992
226350,(주)아이엠텍,2629
195440,(주)퓨전,58221
008800,(주)행남사,108
073070,에이팸(주),303
102210,(주)트레스,31114
023890,주식회사 한국아트라스비엑스,28202
028040,(주)미래SCI,461
036260,(주)이매진아시아,591
291210,한국제7호기업인수목적 주식회사,66199
057500,에스케이엔펄스(주),2629
194510,(주)넥스쳐,5821
277480,신한제4호기업인수목적(주),66199
204990,(주)코썬바이오,10897
065940,(주)바이오빌,20132
281410,한국제6호기업인수목적 주식회사,66199
108790,(주)인터파크,4791
149940,(주)모다,26429
279410,한화에이스기업인수목적4호(주),661
134780,에스엠화진 주식회사,303
112240,(주)에스에프씨,2229
276920,아이비케이에스제7호기업인수목적주식회사,6619
094190,이엘케이(주),26299
900040,차이나그레이트스타인터내셔널리미티드,64992
054340,(주)피앤텔,2642
030270,(주)에스마크,13101
197210,(주)리드,29272
123260,(주)파인넥스,2612
271740,한국제5호기업인수목적(주),66199
122800,(주)썬테크놀로지스,24311
077280,(주)한컴지엠디,582
265920,한화수성기업인수목적(주),66199
265480,미래에셋대우기업인수목적1호(주),661
035480,(주)글로앤웰,46595
264290,한화에이스기업인수목적3호(주),661
017680,데코앤에프,141
036420,(주)콘텐트리중앙,591
262830,대신밸런스제4호기업인수목적(주),66199
257730,신한제3호기업인수목적 주식회사,661
225650,(주)쿠첸,28511
232330,에스케이제3호기업인수목적(주),661
026180,현대정보기술(주),62021
003670,(주)포스코퓨처엠,282
065160,(주)라임,20501
192080,(주)더블유게임즈,5821
123100,(주)원익테라세미콘,29271
240540,한국제4호기업인수목적(주),661
900090,차이나하오란리사이클링유한공사,64992
155960,주식회사 지디,26211
235010,하이에이아이1호기업인수목적(주),66199
232270,케이비제9호기업인수목적(주),661
194610,(주)우성아이비,339
026260,(주)위너지스,468
052290,(주)트레이스,2629
081970,(주)케이엑스넥스지,58221
032040,(주)씨앤에스자산관리,759
047440,디케이씨(주),26211
016170,(주)카카오엠,182
043580,(주)에임하이글로벌,262
230490,동부제4호기업인수목적주식회사,661
130960,씨제이이앤엠(주),602
090730,(주)심팩메탈,24113
024660,하림홀딩스,64992
099660,(주)신텍,25130
226850,키움 제4호 기업인수목적 주식회사,66199
225440,이베스트기업인수목적3호(주),64999
900180,완리인터내셔널홀딩스,64992
087220,(주)스틸플라워,2413
099830,(주)씨그널엔터테인먼트그룹,591
221200,유진기업인수목적3호(주),661
223040,교보5호기업인수목적(주),661
221950,케이비드림투게더제3호기업인수목적 주식회사,661
051170,(주)썬코어,29142
222390,케이비제8호기업인수목적 주식회사,661
039790,(주)위노바,204
219860,한화에이스기업인수목적2호(주),661
219960,유안타제2호기업인수목적(주),661
218710,키움제3호기업인수목적주식회사,661
068270,(주)셀트리온,211
219580,골든브릿지제3호기업인수목적(주),66199
217810,엔에이치기업인수목적7호 주식회사,661
215750,미래에셋제3호기업인수목적(주),66199
215580,대우기업인수목적3호(주),66199
023430,아이이(주),467
207930,에스케이제1호기업인수목적(주),661
206660,골든브릿지제2호기업인수목적(주),661
207720,엔에이치에스엘기업인수목적(주),66199
061460,(주)한진피앤씨,2221
095300,(주)엔에스브이,29133
208870,하나머스트3호기업인수목적(주),66199
900130,웨이포트유한공사,64992
035720,(주)카카오,63120
204650,케이티비기업인수목적1호(주),661
204760,현대에이블기업인수목적1호(주),661
204440,대우기업인수목적2호(주),66199
036500,(주)에스에스컴텍,201
058370,(주)비엔씨컴퍼니,46721
086830,(주)신양오라컴디스플레이,264
052270,(주)우전,262
068150,(주)케이엔씨글로벌,424
066270,네이트커뮤니케이션즈 주식회사,631
060910,(주)프리젠,01299
053810,(주)아이팩토리,29271
037340,(주)에이치씨코퍼레이션,2642
074150,(주)엠제이비,42
025270,부산방직공업(주),131
082390,(주)피엘에이,26211
026960,(주)동서,4632
034830,(주)한국토지신탁,642
086200,(주)제이앤유글로벌,2642
036220,(주)오상헬스케어,271
078780,(주)아이디에스,262
158380,삼목강업(주),30
065270,(주)플렉스컴,262
111610,(주)세왕,42
053870,(주)지티앤티,26429
068060,케이씨더블류 (주),68112
074130,(주)디아이디,26211
013450,(주)동성하이켐,20111
040670,(주)와이즈파워,28123
071930,에이스하이텍(주),2629
